,LOY_D11,LOY_E5b,LOY_E6b,LOY_F10,WT_A3,WT_C1,WT_C8,WT_D5
COL16A1,0.731162211305254,1.53073229172692,0.803054750737537,-0.180149804711376,-1.30984137846669,-1.23881406828834,-0.430815658857338,0.0946716565540462
COL8A2,1.6577969605894,-0.22860906929626,-0.142384432874358,0.195527892674982,0.436787390317992,0.230988725280069,-1.96536900690014,-0.184738459791683
GADD45A,-1.10559752404296,1.68898939349005,0.347199028843562,-0.091863668793244,-0.94673327614242,-0.79174621613135,1.10867800226244,-0.208925739486083
FZD8,-2.24561558936736,-0.0209292267838721,0.893584476089754,0.970225631586037,0.0223944969243057,-0.183562307609115,0.17297433464538,0.390928184514871
BDNF,-1.25290418172708,1.74413823688125,-0.249034455345701,0.846030020165245,-0.749608771913259,-0.658234162272746,0.690921573327834,-0.371308259115545
CD59,-1.39475314995985,1.10358866849008,0.630428454067988,-0.147130283381629,-0.0438269716556568,-1.36155728139829,1.24924524977364,-0.0359946859362773
EFEMP2,0.314566830021307,0.0448327125849482,1.55744000169119,-0.955735459725977,-1.19345160217867,-1.03237297835123,0.999857492775598,0.264863003182828
SERPINH1,-0.326545269925391,1.8436650164341,0.133247655569112,-0.354604438374175,-0.653692990274015,-1.56755317255324,0.324953359512249,0.600529839611369
NNMT,-0.920193461157831,2.30013254048969,-0.217064125850402,0.193098371450023,-0.647254411240481,-0.472208430481777,-0.351002739349196,0.114492256139978
CADM1,-0.75471626062748,2.19698811571691,-0.171430040911527,0.621551662878972,-0.261513549761791,-0.149574913311617,-0.744988009335253,-0.736317004648214
TAGLN,0.62475472921251,1.81460090755418,-0.606140547288731,-0.81252934347001,0.311566658500944,0.448811833313763,-1.34036209986276,-0.440702137959901
THY1,-0.069594473488275,2.36913724514552,-0.217839629703691,-0.127987425044046,-0.763058280205178,-0.659578654094166,0.0174678180462494,-0.548546600656412
GLIPR1,-0.235560139609938,2.31962034584099,-0.946473214351016,0.238876267187837,-0.0968465379303638,-0.615624027322812,-0.298950079099835,-0.365042614714868
FERMT2,-0.25785442007243,2.0719538841277,-0.104030576404977,0.649733586061077,-0.461251917622991,-1.35009501768382,-0.17023142473429,-0.37822411367028
GREM1,0.395780270655688,2.01770689876571,-0.578069988625783,0.454749208341954,0.0486070849380517,-0.294548482753112,-1.18444814920571,-0.859776842116801
FBN1,0.917820668503331,1.59897961347443,-0.672008756855677,0.280374133915599,-0.0509557007484841,-0.164199477542741,-1.73508088470424,-0.174929596042227
TPM1,-0.690838804384741,1.08365353375662,-0.291808110490126,1.2783324879402,-0.504065329848146,-1.53668300077113,0.961158123184742,-0.299748899387411
ANPEP,-0.313051934170842,2.29973842682959,-0.484872616883645,-0.202069263485974,-0.631145842034793,-0.651443463612381,0.49856995850017,-0.515725265142129
PMP22,-0.0567155523559922,0.530841320140741,0.476776866841075,0.0763278874195578,-1.21362824280675,-1.66539165235739,1.43622002549613,0.415569347622624
IGFBP4,1.05220827187765,-0.847659509513863,-0.163791903024168,1.2281952534914,-0.835640261058553,-1.28781871529013,1.10444508154305,-0.249938218025395
ITGB3,-0.339296385302434,2.39115511363579,-0.0675889566372131,-0.228096021533101,-0.667168684203559,-0.649038015581316,0.0515944763083813,-0.49156152668655
LAMA3,-0.139355550394697,-0.691565177438667,-0.474261984901716,-0.288596155426251,1.5173751332926,1.60576029434425,-1.03276996521685,-0.496586594258671
CDH2,-0.776358360965776,2.02595844343373,-0.0842187078174817,-0.605734093011403,0.350052125678701,-0.553496452158971,0.666415666349199,-1.022618621508
TPM4,0.743209193902158,0.258209366009061,0.555250525589564,-1.08147090377394,-0.363665460338663,-0.737938361018604,1.73272526612257,-1.10631962649215
MATN3,1.76641805871562,-0.360852027789149,-0.0949986423756567,-0.0336230588693797,-0.000122173459970793,0.598800277079577,-0.0372957362630836,-1.83832669703796
COL5A2,0.505424357857677,1.90049383133046,-0.428651328874205,0.789572119264365,-0.481987422987775,-0.310540145197309,-0.832553813700657,-1.14175759769256
FN1,-0.702442669735297,-0.391162397480555,0.325831692343191,1.23498130182351,-0.835282421252284,1.62875399997209,-1.16747495148476,-0.0932045541858813
SCG2,-1.34324839156404,1.84784831343972,-0.617610432095357,0.956166461120411,-0.41876465441834,-0.533039431818601,-0.0457917191850334,0.154439854521256
SERPINE2,-1.70141161583696,1.67313854939941,0.477713548205682,0.652884076277958,0.0194550870395167,-0.361351338531332,-0.0401706547085648,-0.720257651845706
COL6A3,-0.539490297850888,2.34301717057351,-0.371240773447139,0.276642866915564,-0.301903875375626,-0.0766839323805925,-0.772267719404584,-0.558073439030245
COL7A1,0.239200815258425,-0.650687808339036,0.285638763139378,1.19337361223378,-0.32377487927912,-1.51676216042187,1.46109578066043,-0.688084123251972
WNT5A,0.818302098649545,0.409033840958752,0.0689067963356416,0.0398835658096001,-1.7536008712308,-1.2092045008745,1.1983072009717,0.428371869380064
FSTL1,0.151098486540921,1.47072294008755,-0.23986429145573,1.40988910112027,-0.822574401278028,-0.892347808155873,-1.13680355006239,0.0598795232032781
PCOLCE2,0.565153037554409,1.65266270207549,0.875067196634791,0.103693549275978,-0.218228523964901,-1.32557199122402,-0.793115700551814,-0.859660269799954
PLOD2,-0.227982691825712,1.66407220250824,-0.0473460624253936,0.774743759381177,-0.651034681074919,-1.04779811550031,0.754267733405281,-1.21892214446836
CXCL8,-0.891094580122591,2.33472231155371,-0.232833343661154,-0.420147469924409,-0.358204682525069,-0.26972766204701,0.312333767599409,-0.47504834087288
CXCL1,-0.568001693073773,1.49620113707718,-0.157028707955736,-1.00064730467914,-0.705591653262081,-0.233016408417879,1.62769841537753,-0.45961378506611
SPP1,0.0820752346708358,1.69249958717996,-0.718891460725088,-1.58800718755838,-0.15000334118437,-0.247067463866168,1.00075072661884,-0.0713560951356224
DAB2,0.463227297688425,2.22675404024095,-0.589084675971429,0.00704815314416689,-0.74611140104951,-0.89568107146361,-0.154524674762229,-0.311627667826759
EDIL3,-0.115678432226885,2.10322401381032,-1.39049447623457,-0.306706459501583,0.364895628699182,0.182721746088127,-0.513578253828931,-0.324383766805658
LOX,0.596994129109622,1.85750929664752,0.017412443611561,0.50707816967642,-1.07347131395949,-1.07863788200713,-0.0405106951666191,-0.786374147911886
FBN2,0.329066412363011,2.28860396170173,-0.793684658384665,-0.242803528069152,-0.501289726006147,0.105485141641792,-0.601048732659586,-0.584328870586981
SPOCK1,0.672804074008843,0.587820471958346,-0.447351702574413,0.756451457146761,0.985186614822549,0.206336634679229,-1.93019084498902,-0.831056705052299
DPYSL3,-1.8869425119482,1.21265053542079,-0.0597056129356726,1.01772268733655,-0.411793844176304,-0.600961018365834,0.10651111062983,0.622518654038841
SPARC,-0.121435659804821,1.49359125762655,-1.19847243834468,0.191271548333538,-0.0264212230009628,-0.0468070716201363,-1.41788451379459,1.12615810060511
SLIT3,-0.405365254343474,1.72822594968031,0.486846956348879,0.725762214522934,-1.13565811841133,-1.33507568628602,0.0415288488523642,-0.106264910363674
DST,-1.08526531556497,1.98732596556312,-0.0367929812391815,0.282250642016851,-0.661319074615363,-0.957392848877121,0.639799637359826,-0.16860602464316
GJA1,-0.741196243752322,0.320862116623961,0.252366047164712,2.23472070905637,-0.592497786821021,-0.666482942037734,-0.694152638093084,-0.113619262140879
SERPINE1,0.126804064077647,-0.131887495060243,1.567849553803,0.59352267221031,-0.397381825325145,-1.88821731300508,0.525343522663326,-0.396033179363827
MEST,1.71046316395558,0.334453014022694,0.263457194200582,-0.192036543396705,-0.65349931917143,-1.50983588801543,0.781258724379318,-0.734260345974611
CALD1,0.522421484236122,1.98502291450284,-0.310673228873349,0.732768695840853,-0.723326823893354,-0.756682276587115,-0.665805551239191,-0.783725213986799
SFRP1,-1.45828095602643,1.80867913283736,0.661754243453536,-0.633514781143862,0.302578661309368,0.263261613358874,-0.751485266545295,-0.19299264724355
SNAI2,0.166701474091475,2.36172230162341,-0.506237043187468,-0.709387697185994,-0.183068017244293,-0.629157723869033,-0.450700453833161,-0.0498728403949404
TNC,-0.434489973047352,1.771936491606,0.0531856413300603,1.27162987062468,-0.978025167738009,-0.801154490168457,-0.619430630168393,-0.26365174243852
COL5A1,-0.694426197336942,0.848753244196089,0.941434381263086,1.62364137217815,-0.132635066381068,-0.728970459112568,-0.919285130925097,-0.938512143881654
SAT1,-0.757103135381856,-0.612761562981474,0.113329762150161,0.689139634731329,-0.843816734811759,-1.19579681330102,1.19543785596299,1.41157099363163
